Thu:04 Aug 2016,error
Mon:12 Sep 1977,6.5
Mon:15 Aug 1977,7
Mon:08 Aug 1977,7.5
Mon:16 May 1977,8
Mon:02 May 1977,8.25
Mon:25 Apr 1977,8.75
Mon:18 Apr 1977,9
Tue:12 Apr 1977,9.25
Thu:31 Mar 1977,9.5
Mon:21 Mar 1977,10.5
Thu:10 Mar 1977,11
Thu:03 Feb 1977,12
Mon:31 Jan 1977,12.25
Mon:24 Jan 1977,13.25
Mon:10 Jan 1977,14
Wed:29 Dec 1976,14.25
Mon:20 Dec 1976,14.5
Mon:22 Nov 1976,14.75
Thu:07 Oct 1976,15
Mon:13 Sep 1976,13
Mon:24 May 1976,11.5
Mon:26 Apr 1976,10.5
Mon:08 Mar 1976,9
Mon:01 Mar 1976,9.25
Mon:09 Feb 1976,9.5
Mon:02 Feb 1976,10
Mon:26 Jan 1976,10.5
Mon:19 Jan 1976,10.75
Mon:05 Jan 1976,11
Mon:29 Dec 1975,11.25
Mon:01 Dec 1975,11.5
Mon:17 Nov 1975,11.75
Mon:06 Oct 1975,12
Mon:28 Jul 1975,11
Mon:05 May 1975,10
Mon:21 Apr 1975,9.75
Mon:24 Mar 1975,10
Mon:10 Mar 1975,10.25
Mon:17 Feb 1975,10.5
Mon:10 Feb 1975,10.75
Mon:27 Jan 1975,11
Mon:20 Jan 1975,11.25
